DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post
-21.0,43.0,1021.0,-11.0,7,1.79,0.0,0.0,3.0,3.0,3.0,16.0
-21.0,47.0,1020.0,-12.0,7,4.92,0.0,0.0,3.0,3.0,3.0,16.0
-21.0,43.0,1019.0,-11.0,7,6.71,0.0,0.0,3.0,3.0,3.0,16.0
-21.0,55.0,1019.0,-14.0,7,9.84,0.0,0.0,3.0,3.0,3.0,16.0
-20.0,51.0,1018.0,-12.0,7,12.97,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,47.0,1017.0,-10.0,7,16.1,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,44.0,1017.0,-9.0,7,19.23,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,44.0,1017.0,-9.0,7,21.02,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,44.0,1017.0,-9.0,7,24.15,0.0,0.0,3.0,3.0,3.0,16.0
-20.0,37.0,1017.0,-8.0,7,27.28,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,37.0,1017.0,-7.0,7,31.3,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,35.0,1017.0,-5.0,7,34.43,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,32.0,1015.0,-5.0,7,37.56,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,30.0,1015.0,-3.0,7,40.69,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,28.0,1014.0,-2.0,7,43.82,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,26.0,1014.0,-1.0,8,0.89,0.0,0.0,3.0,3.0,3.0,16.0
-19.0,25.0,1015.0,-2.0,7,1.79,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,30.0,1015.0,-3.0,7,2.68,0.0,0.0,3.0,3.0,3.0,16.0
-18.0,35.0,1016.0,-5.0,1,1.79,0.0,0.0,3.0,3.0,3.0,16.0
-17.0,35.0,1017.0,-4.0,7,1.79,0.0,0.0,3.0,3.0,3.0,16.0
-17.0,38.0,1017.0,-5.0,8,0.89,0.0,0.0,3.0,3.0,3.0,16.0
-17.0,38.0,1018.0,-5.0,7,1.79,0.0,0.0,3.0,3.0,3.0,16.0
-17.0,38.0,1018.0,-5.0,7,2.68,0.0,0.0,3.0,3.0,3.0,16.0
-17.0,41.0,1020.0,-5.0,8,0.89,0.0,0.0,3.0,3.0,3.0,129.0
-16.0,38.0,1020.0,-4.0,3,1.79,0.0,0.0,3.0,3.0,3.0,148.0
-15.0,42.0,1020.0,-4.0,3,2.68,0.0,0.0,3.0,3.0,3.0,159.0
-11.0,63.5,1021.0,-5.0,3,3.57,0.0,0.0,3.0,3.0,3.0,181.0
-7.0,85.0,1022.0,-5.0,3,5.36,0.0,0.0,3.0,3.0,3.0,138.0
-7.0,85.0,1022.0,-5.0,3,6.25,0.0,0.0,3.0,3.0,3.0,109.0
-7.0,92.0,1022.0,-6.0,3,7.14,0.0,0.0,3.0,3.0,3.0,105.0
-7.0,92.0,1023.0,-6.0,3,8.93,0.0,0.0,3.0,3.0,3.0,124.0
-7.0,85.0,1024.0,-5.0,3,10.72,0.0,0.0,3.0,3.0,3.0,120.0
-8.0,85.0,1024.0,-6.0,3,12.51,0.0,0.0,3.0,3.0,3.0,132.0
-7.0,85.0,1025.0,-5.0,3,14.3,0.0,0.0,3.0,3.0,3.0,140.0
-7.0,85.0,1026.0,-5.0,3,17.43,0.0,0.0,3.0,3.0,3.0,152.0
-8.0,79.0,1026.0,-5.0,3,20.56,0.0,0.0,3.0,3.0,3.0,148.0
-8.0,79.0,1026.0,-5.0,3,23.69,0.0,0.0,3.0,3.0,3.0,164.0
-8.0,79.0,1025.0,-5.0,3,27.71,0.0,0.0,3.0,3.0,3.0,158.0
-9.0,73.0,1025.0,-5.0,3,31.73,0.0,0.0,3.0,3.0,3.0,154.0
-9.0,73.0,1025.0,-5.0,3,35.75,0.0,0.0,3.0,3.0,3.0,159.0
-9.0,73.0,1026.0,-5.0,3,37.54,0.0,0.0,3.0,3.0,3.0,164.0
-8.0,79.0,1027.0,-5.0,3,39.33,0.0,0.0,3.0,3.0,3.0,170.0
-8.0,79.0,1027.0,-5.0,3,42.46,0.0,0.0,3.0,3.0,3.0,149.0
-8.0,79.0,1028.0,-5.0,3,44.25,0.0,0.0,3.0,3.0,3.0,154.0
