,Unnamed: 0,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
0,50584,50585,2015,10,9,16,3,7.0,9.0,3.0,16.0,-3.0,22.0,1010.0,19.0,7,70.63,0.0,0.0
1,50585,50586,2015,10,9,17,3,3.0,4.0,3.0,16.0,-4.0,22.0,1010.0,18.0,7,78.68,0.0,0.0
2,50586,50587,2015,10,9,18,3,3.0,4.0,3.0,16.0,-3.0,30.0,1011.0,14.0,7,84.49,0.0,0.0
3,50587,50588,2015,10,9,19,3,10.0,11.0,3.0,16.0,-3.0,34.0,1013.0,12.0,7,90.3,0.0,0.0
4,50588,50589,2015,10,9,20,3,3.0,9.0,3.0,16.0,-3.0,32.0,1014.0,13.0,7,96.11,0.0,0.0
5,50589,50590,2015,10,9,21,3,9.0,4.0,3.0,16.0,-3.0,37.0,1014.0,11.0,7,99.24,0.0,0.0
6,50590,50591,2015,10,9,22,3,5.0,4.0,3.0,16.0,-4.0,34.0,1015.0,11.0,7,104.16,0.0,0.0
7,50591,50592,2015,10,9,23,3,5.0,5.0,3.0,5.0,-4.0,32.0,1015.0,12.0,7,112.21,0.0,0.0
8,50592,50593,2015,10,10,0,3,4.0,9.0,3.0,4.0,-4.0,34.0,1015.0,11.0,7,118.02,0.0,0.0
9,50593,50594,2015,10,10,1,3,8.0,3.0,3.0,5.0,-5.0,32.0,1015.0,11.0,7,123.83,0.0,0.0
10,50594,50595,2015,10,10,2,3,3.0,5.0,3.0,5.0,-5.0,32.0,1015.0,11.0,7,131.88,0.0,0.0
11,50595,50596,2015,10,10,3,3,3.0,3.0,3.0,3.0,-5.0,32.0,1016.0,11.0,7,139.03,0.0,0.0
12,50596,50597,2015,10,10,4,3,3.0,3.0,3.0,1.0,-4.0,39.0,1016.0,9.0,7,143.05,0.0,0.0
13,50597,50598,2015,10,10,5,3,3.0,3.0,3.0,5.0,-4.0,39.0,1016.0,9.0,7,147.97,0.0,0.0
14,50598,50599,2015,10,10,6,3,5.0,7.0,3.0,6.0,-3.0,42.0,1016.0,9.0,7,153.78,0.0,0.0
15,50599,50600,2015,10,10,7,3,6.0,5.0,3.0,16.0,-3.0,39.0,1017.0,10.0,7,160.93,0.0,0.0
16,50600,50601,2015,10,10,8,3,3.0,3.0,3.0,16.0,-5.0,30.0,1018.0,12.0,7,168.98,0.0,0.0
17,50601,50602,2015,10,10,9,3,3.0,3.0,3.0,16.0,-4.0,30.0,1018.0,13.0,7,177.03,0.0,0.0
18,50602,50603,2015,10,10,10,3,5.0,3.0,3.0,16.0,-4.0,28.0,1018.0,14.0,7,186.86,0.0,0.0
19,50603,50604,2015,10,10,11,3,3.0,3.0,3.0,16.0,-4.0,28.0,1018.0,14.0,7,195.8,0.0,0.0
20,50604,50605,2015,10,10,12,3,4.0,3.0,3.0,16.0,-4.0,26.0,1018.0,15.0,7,206.98,0.0,0.0
21,50605,50606,2015,10,10,13,3,6.0,8.0,3.0,16.0,-5.0,23.0,1017.0,16.0,7,219.05,0.0,0.0
22,50606,50607,2015,10,10,14,3,3.0,3.0,3.0,16.0,-5.0,23.0,1017.0,16.0,7,232.01,0.0,0.0
23,50607,50608,2015,10,10,15,3,8.0,3.0,3.0,16.0,-5.0,23.0,1016.0,16.0,7,241.84,0.0,0.0
24,50608,50609,2015,10,10,16,3,7.0,3.0,3.0,7.0,-5.0,23.0,1016.0,16.0,7,250.78,0.0,0.0
25,50609,50610,2015,10,10,17,3,4.0,3.0,3.0,9.0,-5.0,26.0,1016.0,14.0,7,258.83,0.0,0.0
26,50610,50611,2015,10,10,18,3,11.0,3.0,3.0,9.0,-5.0,26.0,1016.0,14.0,7,264.64,0.0,0.0
27,50611,50612,2015,10,10,19,3,8.0,3.0,7.0,9.0,-5.0,28.0,1016.0,13.0,7,269.56,0.0,0.0
28,50612,50613,2015,10,10,20,3,7.0,3.0,5.0,9.0,-5.0,28.0,1016.0,13.0,7,273.58,0.0,0.0
29,50613,50614,2015,10,10,21,3,4.0,3.0,6.0,5.0,-4.0,30.0,1016.0,13.0,7,277.6,0.0,0.0
30,50614,50615,2015,10,10,22,3,3.0,3.0,5.0,8.0,-4.0,28.0,1016.0,14.0,7,284.75,0.0,0.0
31,50615,50616,2015,10,10,23,3,3.0,3.0,6.0,10.0,-4.0,28.0,1016.0,14.0,7,292.8,0.0,0.0
32,50616,50617,2015,10,11,0,3,6.0,3.0,5.0,6.0,-3.0,30.0,1015.0,14.0,7,300.85,0.0,0.0
33,50617,50618,2015,10,11,1,3,5.0,3.0,4.0,5.0,-3.0,30.0,1015.0,14.0,7,308.9,0.0,0.0
34,50618,50619,2015,10,11,2,3,3.0,3.0,3.0,7.0,-3.0,30.0,1015.0,14.0,7,316.05,0.0,0.0
35,50619,50620,2015,10,11,3,3,4.0,3.0,4.0,6.0,-2.0,33.0,1015.0,14.0,7,324.1,0.0,0.0
36,50620,50621,2015,10,11,4,3,7.0,3.0,7.0,5.0,-1.0,35.0,1015.0,14.0,7,333.04,0.0,0.0
37,50621,50622,2015,10,11,5,3,3.0,3.0,8.0,6.0,-1.0,35.0,1015.0,14.0,7,341.09,0.0,0.0
38,50622,50623,2015,10,11,6,3,7.0,3.0,5.0,9.0,0.0,38.0,1016.0,14.0,7,346.9,0.0,0.0
39,50623,50624,2015,10,11,7,3,6.0,3.0,9.0,10.0,0.0,35.0,1016.0,15.0,7,352.71,0.0,0.0
40,50624,50625,2015,10,11,8,3,7.0,3.0,8.0,8.0,1.0,36.0,1017.0,16.0,7,359.86,0.0,0.0
41,50625,50626,2015,10,11,9,3,8.0,3.0,7.0,8.0,2.0,36.0,1018.0,17.0,7,365.67,0.0,0.0
42,50626,50627,2015,10,11,10,3,9.0,3.0,8.0,7.0,2.0,34.0,1018.0,18.0,7,371.48,0.0,0.0
43,50627,50628,2015,10,11,11,3,10.0,3.0,13.0,9.0,2.0,30.0,1018.0,20.0,7,378.63,0.0,0.0
44,50628,50629,2015,10,11,12,3,7.0,3.0,12.0,9.0,2.0,28.0,1018.0,21.0,7,387.57,0.0,0.0
45,50629,50630,2015,10,11,13,3,7.0,3.0,10.0,7.0,2.0,28.0,1017.0,21.0,7,396.51,0.0,0.0
46,50630,50631,2015,10,11,14,3,4.0,3.0,8.0,7.0,1.0,26.0,1017.0,21.0,7,405.45,0.0,0.0
47,50631,50632,2015,10,11,15,3,11.0,3.0,11.0,8.0,0.0,23.0,1017.0,22.0,7,414.39,0.0,0.0
48,50632,50633,2015,10,11,16,3,10.0,3.0,10.0,8.0,0.0,23.0,1016.0,22.0,7,422.44,0.0,0.0
49,50633,50634,2015,10,11,17,3,10.0,3.0,13.0,6.0,0.0,23.0,1017.0,22.0,7,428.25,0.0,0.0
50,50634,50635,2015,10,11,18,3,16.0,3.0,13.0,15.0,0.0,24.0,1017.0,21.0,7,433.17,0.0,0.0
51,50635,50636,2015,10,11,19,3,16.0,3.0,10.0,5.0,-1.0,24.0,1018.0,20.0,7,438.98,0.0,0.0
52,50636,50637,2015,10,11,20,3,12.0,3.0,9.0,7.0,0.0,31.0,1019.0,17.0,7,443.0,0.0,0.0
53,50637,50638,2015,10,11,21,3,8.0,7.0,6.0,6.0,-2.0,25.0,1020.0,18.0,7,447.92,0.0,0.0
54,50638,50639,2015,10,11,22,3,9.0,3.0,3.0,3.0,-3.0,23.0,1021.0,18.0,7,453.73,0.0,0.0
55,50639,50640,2015,10,11,23,3,9.0,3.0,4.0,2.0,0.0,40.0,1021.0,13.0,7,455.52,0.0,0.0
56,50640,50641,2015,10,12,0,3,4.0,3.0,9.0,6.0,2.0,57.0,1021.0,10.0,1,1.79,0.0,0.0
57,50641,50642,2015,10,12,1,3,12.0,3.0,8.0,10.0,-1.0,37.0,1021.0,13.0,7,1.79,0.0,0.0
58,50642,50643,2015,10,12,2,3,10.0,3.0,9.0,6.0,2.0,65.0,1021.0,8.0,7,4.92,0.0,0.0
59,50643,50644,2015,10,12,3,3,5.0,3.0,8.0,6.0,2.0,65.0,1021.0,8.0,1,1.79,0.0,0.0
60,50644,50645,2015,10,12,4,3,8.0,9.0,11.0,9.0,3.0,75.0,1021.0,7.0,7,0.89,0.0,0.0
61,50645,50646,2015,10,12,5,3,8.0,3.0,11.0,12.0,3.0,81.0,1021.0,6.0,7,2.68,0.0,0.0
62,50646,50647,2015,10,12,6,3,15.0,3.0,11.0,11.0,3.0,81.0,1022.0,6.0,3,0.89,0.0,0.0
63,50647,50648,2015,10,12,7,3,14.0,3.0,16.0,16.0,4.0,75.0,1022.0,8.0,7,1.79,0.0,0.0
64,50648,50649,2015,10,12,8,3,16.0,3.0,12.0,17.0,3.0,47.0,1023.0,14.0,1,0.89,0.0,0.0
65,50649,50650,2015,10,12,9,3,9.0,3.0,12.0,12.0,1.0,29.0,1023.0,19.0,7,1.79,0.0,0.0
66,50650,50651,2015,10,12,10,3,9.0,3.0,12.0,9.0,0.0,26.0,1023.0,20.0,7,7.6,0.0,0.0
67,50651,50652,2015,10,12,11,3,10.0,8.0,3.0,10.0,-1.0,21.0,1022.0,22.0,7,13.41,0.0,0.0
68,50652,50653,2015,10,12,12,3,11.0,3.0,5.0,7.0,-2.0,17.0,1021.0,24.0,7,20.56,0.0,0.0
69,50653,50654,2015,10,12,13,3,8.0,3.0,9.0,5.0,-1.0,19.0,1020.0,24.0,7,25.48,0.0,0.0
70,50654,50655,2015,10,12,14,3,5.0,3.0,7.0,5.0,-1.0,17.0,1020.0,25.0,7,30.4,0.0,0.0
71,50655,50656,2015,10,12,15,3,8.0,3.0,7.0,8.0,-2.0,16.0,1019.0,25.0,7,35.32,0.0,0.0
72,50656,50657,2015,10,12,16,3,16.0,3.0,14.0,10.0,-1.0,17.0,1018.0,25.0,7,40.24,0.0,0.0
73,50657,50658,2015,10,12,17,3,15.0,3.0,17.0,12.0,-1.0,17.0,1018.0,25.0,3,4.02,0.0,0.0
